Filière,Entreprise,Pays du stage,Contact Entreprise
GL,Divizend,Allemagne,Julian.nalnez@divizend.com
GL,Crewmeister,Germany,kontakt@crewmeister.com
GL,Université TELUQ - Quebec,Montréal ,Info@teluq.ca
GL,Divizend GmbH,Allemange,support@divizend.com
GL,FDTI consulting,Toulouse,+33 7 67 92 37 26
GL,Dassault Systèmes,France,fr.people.admin@3ds.com
GL,MVST. GmbH,Allemagne,niklas@mvst.co
GL,Qantev,France,Admin@qantev.com
GL,Scaylab ,Tunisie ,Sameh@scaylab.fr
GL,Simon Fraser University ,Canada,tzwang@sfu.ca
GL,Aman Solutions For Cybersecurity ,Arabie Saoudite,m. mouldi@aman.com.sa
GL,Aimino,Allemagne,tam.nguyen@aimino.de
GL,MVST GmbH,Allemagne,Raphael@mvst.co
GL,Servist GmbH,Allemagne,minawal@servist.de
GL,Divizend GmbH,Germany,info@divizend.com
GL,Divizend GmBH,Allemagne,julian.nalenz@divizend.com
GL,Corolair,France,corolair@gmail.com
GL,myTomorrows,Pays-Bas,people@mytomorrows.com
GL,Fiasco GmbH,Allemagne,harun.coskun@fiasco.de
GL,WorkerBase,Germany,ghaith@workerbase.com
GL,Paul Scherrer Institut,Suisse,https://www.psi.ch/en/about/contact
GL,BMW,Allemagne,https://www.bmw.com/
GL,INCEDO ,Allmagne,manuel@incedo.com
GL,Multiverse Computing ,Espagne,Ane.amenabar@multiversecomputing.com 
GL,Neovee,France,lamine.barghouda@neovee.fr
GL,Mvst gmbh,Allemagne,janda@mvst.co
GL,Scheidt and bachmann ,Tunisie,+21629997175
GL,Credium GmbH,Germany,lukas.geirhos@credium.de
GL,Quantstack,France,johan.mabille@quantstack.net
GL,42DigitalSolutions GmbH,Allemagne,+4922199989850
GL,Julaya,France,https://julaya.co/fr/contact
GL,taico GmbH,Allemagne,Uzair Tajuddin : uzair.tajuddin@taico.io
GL,P&T Software GmbH,Allemagne ,phillip@pt.software
GL,Corys,France,jefferson.jannault@corys.fr 
GL,Lingua Custodia,France,charlotte.bain@linguacustodia.com
GL,Aimino Tech Gmbh,Allemagne,tam.nguyen@aimino.de
GL,Contractzlab,France,Rafik@contractzlab.com
GL,Stockly,France,admin@stockly.ai
GL,Wintics,France,matthias.houllier@wintics.com
GL,CY Cergy Paris Université,France,130736263
GL,P&T software,allemagne,info@pt.software
GL,Pixalione,France,+33 183 64 60 90
GL,CED,Tunisie,chayma.nawali@ced.group
GL,Deloitte,Belgique,jotsalia@deloitte.com
GL,EY Tunisie,Tunisie,31342111
GL,AllMediaDesk GmbH,Germany,hr@allmediadesk.com 
GL,InstaDeep,Tunisie,36362634
GL,Wintics,France,+33 6 70 92 11 68
GL,Ventus Technologies GmbH,Germany,+49 711 25253537
GL,University of victoria ,Canada,Sheryl Karras
GL,DOCIC,Tunisie,info@docic.net
GL,Finalgo,France,bertrand@finalgo.fr
GL,Opale Énergies Engagées,France,bonjour@opale-en.eu
GL,Digihealth,Tunisie,22124131
GL,Medius,Poland,lukasz.wiatrak@medius.com
GL,VALUE,Tunisie,Communications@value.com.tn
GL,Done Robotics ,Finland ,https://donerobotics.com/contact-us
GL,Grand Shooting,France,ddelangle@grand-shooting.com
GL,INEXFLOW,France,jobs@enexflow.com
GL,LightOn,France,iacopo@lighton.ai
GL,Aimino,Allemagne,tam.nguyen@aimino.de 
GL,taico GmbH,Allemagne ,alexander.ermisch@taico.io
GL,BNP Paribas,France,GROUP.PARISAPPUISTAFFINGFONCTIONSSTAGES@bnpparibas.com
GL,Inexflow,France,https://www.enexflow.com/#Contact
GL,EcoG,Germany,johannes@ecog.io
IIA,SOBEN,France, benjamin.talon@soben.fr
IIA,LightOn,"Paris, France",Iacopo.poli@lighton.ai
IIA,Airbus,France,Welcome.earlycareers@airbus.com
IIA,Integration Objects,Tunisie,careers@integrationobjects.com
IIA,Still GmbH,Allemagne ,+49 180 4 7845533
IIA,PCP Consulting,France,kamdouni@pcp-consulting.fr
IIA,Ant Robotics GmbH,Allemagne,philipp@antrobotics.de
IIA,Quantstack ,France ,johan.mabille@quantstack.net
IIA,Efrei Paris,France,adlane.benchallal@efrei.fr
IIA,Munic,France,aaron.solomon@munic.io
IIA,InterDigital,France,Sylvie.Philippe@interdigital.com
IIA,l’Université du Québec à Trois-Rivières (UQTR),Canada ,stage.recherche@uqtr.ca
IIA,Université du Québec à Trois‐Rivières,Canada,stage.recherche@uqtr.ca
IIA,GLIMPS,"rennes,France",recrutement@glimps.re
IIA,NXP Semiconductors,France,carine.jumaire@nxp.com
IIA,Bloomflow,France,Pierre.charlet@bloomflow.com
IIA,Supervizor,"France, Paris",alban.clot@supervizor.com
IIA,TU Dresden,Allemagne,diana.goehringer@​tu-dresden.de
IIA,Université de Passau,Allemagne,Wiem.FekihHassen@uni-passau.de 
IIA,Integration Objects,Tunis ,71195360
IIA,Actia ,Tunisie,+216 70 68 79 17
IIA,Actia Engineering Services,Tunisie,58563092
IIA,FOCUS,Tunisie,71166300
IIA,Actia ES,Tunisie,70687917
IIA,WYNSYS,Tunis,contactus@wynsys.com
IIA,Wynsys,Tunisie,71858021
IIA,WYNSYS,Tunisie ,contactus@wynsys.com
IIA,MBZUAI,UAE,Charlotte.Price@mbzuai.ac.ae
IIA,Elite business,Tunisie,56698702
IIA,ABB Corporate Research Center ,allemagne,ABB Forschungszentrum Wallstadter Strasse 59 68526 Ladenburg Germany Phone: +49 6203 71 61 01
IIA,Wynsys,Tunisie,contactus@wynsys.com
IIA,The Element Biotechnology,France,contact@theelement.fr
IIA,3S Antriebe ,Allemagne,S.sacharowitz@3s-antriebe.de
IIA,Cognira,Tunisie,Cognira.com
IIA,Université de Technologie Tarbes Occitanie Pyrénées,France,0562442700
IIA,TIM,Tunisie,70749049
IIA,SEABOT,Tunisie,23502085
IIA,LIS Aix Marseille,France,+33 0491056057
IIA,Naxxum Group,Tunisie,contact@naxxum.com
IIA,Robert Bosch GmbH,Allemagne ,niko.suebert@de.bosch.com
IIA,Gerhard Schubert ,Allemagne ,+49 7951 400 - 806
IIA,STEG Rades,Tunisie,27586579
IIA,Digihealth ,Tunisie ,56900000
IIA,Primatec,Tunisie,39152300
IIA,EleOnetech,Tunisie,39140204
IIA,EmyeHR,Tunisie,Aimen.jouini@emye.fr
IIA,BAKO MOTORS,Tunisie,50222820
IIA,Gerhard Schubert GmbH - Schubert Motion,Germany,"Jenny Wacker, +497951400806, karriere@gerhard-schubert.de"
IIA,Faurecia Informatique Tunisie ,Tunisie ,71185072
IIA,Idealworks ,Allemagne ,Ons.ben.mlouka@idealworks.com
IIA,statinf,france,contact@statinf.fr
IIA,Integration Objects,Tunisie,71195360
IIA,NXP Semiconductors,France,leila.goulamaly@nxp.com
IIA,eLichend,France ,Contact@elichens.com
IIA,WYNSYS,Tunisie,71858021
IIA,Wynsys ,Tunis ,+21671858021
IIA,Think-It,Tunis,20363627
IIA,SIRAT,0,71780487
IIA,Kamag Transporttechnik GmbH & Co. KG,Germany,info@tii-group.com
IIA,Emyehr,Tunisie,aimen.jouini@emye.fr
IMI,FIASCO GmbH,Allemagne,info@fiasco.de
IMI,Dassault Systèmes,France,fr.people.admin@3ds.com
IMI,Heineken,France,earlycareers-heineken@noous.co
IMI,BMW ag ,Allemagne,SuccessFactors@bmwgroup.com
IMI,DASSAULT SYSTÈMES,France,Rima.MECHETY@3ds.com
IMI,Twinswheel,France ,benjamin.talon@soben.fr
IMI,Colas SA,France,Florent.bouriot@colas.com
IMI,Imerys,France,gabriel.rabelo@imerys.com
IMI,Pelico,France,antoine@pelico.io
IMI,Airbus,France,welcome.earlycareers@airbus.com
IMI,Integration objects ,Tunisie ,71195360
IMI,1A TECHNOLOGIES,Germany,marcus.witt@1a-technologies.com
IMI,Integration objects,Tunisie ,71195360
IMI,"Université NANTES ,LS2N",France,sec-recherche.iutna@univ-nantes.fr
IMI,Université Polytechnique Hauts-de-France,France,francoise.desruelles@uphf.fr
IMI,Coty Fragrance Production,France,coty@service-now.com
IMI,STMicroelectronics,France,crolles.admin@st.com
IMI,Robert Bosch GmbH,Allemagne,contact@bosch.com
IMI,Iris.AI,norvège,denitsa@iris.ai
IMI,Invirtus Technologies,France,+33 (0)2 28 24 64 90
IMI,Veolia,France ,Contact@veolia.fr
IMI,Multiverse Computing ,Espagne ,Razvan.macec@multiversecomputing.com
IMI,Infineon Technologies,Autriche,6 mois
IMI,Laboratoire lagrange,Nice,Aziz ziad
IMI,Actia automotive ,France,Maliza.himidi@actia.fr
IMI,VEGE MOTORS,Tunisie,karim.boudriga@vegemotoren.com
IMI,MUNIC,France,Kevin.niddam@munic.io
IMI,Université du Québec en Outaouais,Canada,(819) 595-3900
IMI,LEONI,Tunisie,73102000
IMI,WYNSYS,Tunisie,+216 71 858 034
IMI,Wynsys,Tunisie,71858021
IMI,WYNSYS,Tunisie ,71858021
IMI,Visteon Corporation,Tunisie,obenjoui@visteon.com
IMI,UQAC,canada,M3OTIS@UQAC.CA
IMI,iliade consulting ,Tunisie,99997725
IMI,iliadeconsulting,Tunisie,99997725
IMI,Air Liquide,France,Michel.CAETANO@airliquide.com
IMI,JFK Integration,Tunisie,98905947
IMI,JFK Integration ,Tunisie ,Careers@jfkintegration.com
IMI,JFK integration,Tunisie,careers@jfkintegration.com
IMI,SIRYOS,Tunisie,70027050
IMI,SEGITEC,Tunisie,contact@segitec.net
IMI,Integration Objects,tunisie,71195360
IMI,University of Northern British Columbia,Canada,jianhui.zhou@unbc.ca
IMI,Modeo,France,Modeo.fr
