Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
SAB,direction@sab2i.com,+33 1 43 94 94 01,Operates as a banking solutions editor primarily in France,"Edition, impression",J - Information et communication
INFOVISTA SA,sales@infovista.com,+33 1 64 86 79 00,"The Company specializes in the design, development and marketing of computer system and infrastructure performance management software. The Group's products are intended for service providers ( telecommunication operators, Internet access providers, computer subcontractors), and businesses ( financial institutions and government agencies).",Autres services,J - Information et communication
CAPSULE TECHNOLOGIE,info@capsuletech.com,+33 1 84 17 12 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
ESKER SA,info@esker.fr,+33 4 72 83 46 46,"The Company specializes in the design and publishing of software for connectivity, automatic faxing, and electronic distribution of paper support materials and connectivity.",Autres services,J - Information et communication
FRANCE TELEVISIONS DISTRIBUTION,licences@francetv.com,+33 1 56 22 90 00,Markets internationally programs produced or broadcasted by the France Televisions group or independent producers,Autres services,J - Information et communication
UGC CINE CITE ILE DE FRANCE,info@ugc.fr,+33 1 48 12 61 17,Engaged in the operation of motion picture theaters in France,Autres services,J - Information et communication
SONY PICTURES HOME ENTERTAINMENT (FRANCE) SNC,contact@columbia-tristar-dvd.com,+33 1 46 84 19 19,"Engaged in the production, publishing and distribution of videos",Autres services,J - Information et communication
DEGETEL GROUP,assistante@degetel.com,+33 1 41 86 02 00,"A provider of IT consulting service, functional expertise, and software integration",Autres services,J - Information et communication
SOC FRANC EDITION PRESSE,abonnements@sfep.fr,+33 1 47 11 20 00,Engaged in publishing of newspapers,"Edition, impression",J - Information et communication
SODIFRANCE ISIS,contacts@sodifrance.fr,+33 2 99 23 46 00,Engaged in the provision of information technology (IT) resourcing and consulting services,Autres services,J - Information et communication
KM,accueil@kmprod.fr,+33 1 47 61 84 00,,Autres services,J - Information et communication
EDITIONS DALLOZ,dalloz-revues@dalloz.fr,+33 1 40 64 54 54,"Engaged in the publication of books, codes, journals, encyclopedias, digital products","Edition, impression",J - Information et communication
EASYNET,info@fr.easynet.net,+33 1 77 49 70 00,Operates as a broadband networking company that provides Internet protocol (IP)-based wide area networking solutions to businesses and consumers in France,Télécommunications,J - Information et communication
GLOBAL SWITCH PARIS,parissales@globalswitch.com,+33 1 47 39 57 73,Engaged in the operation of Global Switch carrier neutral data centers in Clichy-Levallois,Autres services,J - Information et communication
STEF INFORMATION ET TECHNOLOGIES,contact@stef.com,+33 1 40 74 29 00,Engaged in software consultancy and supply,Autres services,J - Information et communication
TALAN SAS,accueil@talan.fr,+33 1 42 97 96 96,"Operates as a consulting and services company, specializing in the redesign of business processes and the alignment of the information system to the requirements of permanent transformations of enterprises; Offers multi-specialist and council services",Autres services,J - Information et communication
ANSYS FRANCE,fradmin@ansys.com,+33 1 30 60 15 00,"Develops computational fluid dynamics software for simulating fluid flow, heat and mass transfer, and a host of related phenomena involving turbulence, reactions, and multiphase flow","Edition, impression",J - Information et communication
CELLFISH,business@cellfischmedia.fr,+33 1 72 59 58 00,"Engaged in the development, marketing, and distribution of mobile content solutions",Autres services,J - Information et communication
IMAGE & COMPAGNIE,contact@imageetcompagnie.fr,+33 1 40 74 62 00,Engaged in the production of motion pictures and videos,Autres services,J - Information et communication
SOLUTEC,solutec@solutec.fr,+33 4 78 64 32 92,Engaged in the provision of computer engineering services in France,Autres services,J - Information et communication
M F P MULTIMEDIA FRANCE PRODUCTIONS,accueil.mfp@mfptv.fr,+33 1 56 22 25 00,Engaged in the production of television programmes,Autres services,J - Information et communication
DEGETEL,drh@degetel.com,+33 1 41 86 02 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
ABSYS CYBORG,accueil_issy@absyscyborg.com,+33 1 41 09 60 60,Engaged in the provision of hardware and software solutions and consultancy,Autres services,J - Information et communication
ONEACCESS,contact@oneaccess-net.com,+33 1 41 87 70 00,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
DL SOFTWARE S.A.,jybarbara@actifin.fr,+33 1 58 57 22 94,The Company specializes in publishing and marketing of management software for small and medium-sized businesses.,"Edition, impression",J - Information et communication
SMILE,scompta@smile.fr,+33 1 47 57 24 45,Primarily engaged in the creation of Internet sites,Autres services,J - Information et communication
MC2I GROUPE - CONSEIL EN SYSTEMES,mc2i@mc2i.fr,,Engaged in the provision of IT consultancy and other related services,Autres services,J - Information et communication
SAINT-GOBAIN CONSULTING INFORMATION AND ORGANIZATION,helpdesk.sgcio@saint-gobain.com,+33 1 47 62 48 00,"Engaged in the provision of computer programming and data processing, as well as other related services",Autres services,J - Information et communication
AFONE SA,ir@afone.com,+33 2 41 86 05 04,"The Company is a telecommunications service operator. The Company offers to its customers (primarily small businesses and companies with multiple sales locations) solutions for improving their telephone call processing, related electronic banking offers, and remote security offers.",Télécommunications,J - Information et communication
GETRONICS DECAN,webmaster@decan.fr,+33 4 78 64 31 00,"Groupe Decan provides engineering services for the information industry as well as the telecommunications, sciences and industry sectors.",Autres services,J - Information et communication
ELLISPHERE,relations-clients@ellisphere.fr,+33 1 55 51 58 00,Engaged in the provision of extrajudicial collection and acquisition of demands as well as extraordinary enforcement of ceded demands,Autres services,J - Information et communication
ORESYS,oresys@oresys.eu,+33 1 44 90 18 18,Engaged in the provision of business and management consulting services in France,Autres services,J - Information et communication
MILAN PRESSE,std@milanpresse.fr,+33 5 61 76 64 64,"Engaged in the publication of books, magazines and other reading materials with emphasis on children's literature","Edition, impression",J - Information et communication
WILD BUNCH DISTRIBUTION,distribution@wildbunch.eu,+33 1 53 10 42 50,Engaged in motion picture and video distribution,Autres services,J - Information et communication
MOODY'S ANALYTICS SAS,clientservices.emea@moodys.com,+33 1 53 30 10 20,Engaged in the publishing and distribution of software,"Edition, impression",J - Information et communication
SOC PARISIENNE ETUDE INFORMATIQUE GESTIO,info@speig.fr,+33 1 34 65 50 56,Engaged in the provision of computer processing and data preparation services,Autres services,J - Information et communication
KLEE,contact@kleegroup.com,+33 1 46 29 25 25,Engaged in software consultancy and supply,Autres services,J - Information et communication
NOUVELLE GENERATION DE PRESSE AGRICOLE,info@isagri.fr,+33 3 44 06 40 00,Engaged in the operation of a publisher,"Edition, impression",J - Information et communication
ABE CLEARING,clearing@ebaclearing.eu,+33 1 53 67 07 00,Engaged in the provision of data processing and related services,Autres services,J - Information et communication
SIDEXA,recrutement@sidexa.fr,+33 1 41 13 31 33,Engaged in the fine-tuning of software for automobile expertise,Autres services,J - Information et communication
ASTERION FRANCE,info-fr@asterion-int.com,+33 1 55 84 40 40,"Engaged in the provision of data processing, disaster recovery, and computer software development services",Autres services,J - Information et communication
ASTELLIA S.A.,bourse@astellia.com,+33 2 99 04 80 60,"The Company specializes in the design, manufacturing and marketing of hardware and software for the quality of mobile telephone services and network performance management.",Autres services,J - Information et communication
EST BOURGOGNE MEDIA,infos@lejsl.fr,+33 3 80 42 42 42,Engaged in the publication of magazines and other related articles,"Edition, impression",J - Information et communication
NEXWAY,info@nexway.fr,+33 1 55 17 31 55,Engaged in the distribution of digital content,Autres services,J - Information et communication
HOROQUARTZ,export@horoquartz.fr,+33 1 56 54 05 10,Engaged in the provision of HR solutions,"Edition, impression",J - Information et communication
PROLOGUE,info@prologue.fr,+33 1 69 29 39 39,"The Company specializes in the design and publication of software platforms for use in deploying, operating, and maintaining professional applications.",Autres services,J - Information et communication
DALET SA,ddms@dalet.com,+33 1 41 27 67 00,"The Company specializes in publishing computer software for managing and distributing multimedia content. The Group's products are used to manage the entire information production cycle, from recording, editing, script production and programming to broadcasting and archiving. The Company's activities include the following :",Autres services,J - Information et communication
DASSAULT DATA SERVICES,information@dassault-data-services.fr,+33 1 61 62 61 62,Engaged in the provision of information technology (IT)services and consultancy,Autres services,J - Information et communication
KEONYS,contact@keonys.com,+33 1 81 93 81 93,Specialized in the provision of computer programming services,Autres services,J - Information et communication
ETRALI,info@etrali.com,+33 1 55 82 91 00,Holding company primarily engaged in the management and administration of its subsidiaries and affiliates,Télécommunications,J - Information et communication
